name,calorie value ,carbohydrates,protiens,fat
baby back ribs,85g=2000,18,20,18
beignets           ,60g=334,29,5,23
caprese salad,1beignet=240,36,6,7
cheesecake       ,113g=179,4,8,15
chicken wings,100g=321,26,6,23
churros             ,100g=371,53,5,15
crab cakes,1churro=240,24,3,14
creme brulee,100g=266,9,19,17
croque madame,1cup=551,22,6,50
cup cakes,1serving=500.9,55.3,21.8,20.7
deviled eggs,100g=305,67,4.3,3.7
donuts              ,1deviled egg half=70,1,3,6
dumplings          ,100g=452,51,4.9,25
edamame             ,100g=40,2.5,2.3,2.3
eggs benedict,100g=122,10,11,5
french fries            ,1serving=775,29,31,59
fried rice               ,100g=312,41,3.4,15
garlic bread             ,100g=23,3.3,1.5,0.7
gnocchi                  ,100g=229,25,8,11
grilled salmon           ,100g=163,31,4.7,2.3
gyoza                   ,100g=350,42,8,17
hot dog                ,1cup=250,32.04,4.44,11.73
ice cream               ,140g=150,6,3,13
macarons                ,100g=497,58,10,25
miso soup              ,178g=367,0,39,22
nachos                  ,1gyoza=83,8,3,4
omelette,100g=295,24,17,14
onion rings,100g=290,4.2,10,26
oysters,100g=207,24,3.5,11
pancakes,100g=135,15,7,4.9
panna cotta,100g=50,10,0.9,1
peking duck,100g=404,72,3.6,13
pizza,100g=199,26,12,6
pork chop,100g=306,32,8,17
prime rib,100g=154,0.6,11,12
pulled pork sandwich,100g=411,44,3.9,25
ravioli,100g=199,12,9,13
samosa,1duck=1888,240,106,159
sashimi,100g=266,33,11,10
scallops,100g=231,0,24,14
shrimp and grits,1kg=1000,0,84,72
spaghetti_bolognese,1sandwich=614,39,44,31
spring rolls,100g=77,14,2.5,1.5
steak,1slice=370,49,4,18
sushi,1serving=174,38.1,3.9,0.7
tuna tartare,1piece=308,32,5,18
waffles,85g=49,0,7,2
dosa,120g=200,28,4,12
mysorepak,1pc=250,26,2,10
madhur vada,1p=100,19,5,4
kajukatli,1pc=57,6.3,1.4,3.3
kajuroll,1pc=120,10,3,8
uppma,120g=250,45.7,8.1,3.8
"french onion soup
",1 serving=466,28,20,31
